"GeneID","Female1","Female2","Female3","Female4","Labium1","Labium2","Labium3","Labium4","Male1","Male2","Male3","Male4"
"gene15613",50.6317863636681,43.7990657106339,44.813414650873,38.8772664824441,61.1729908646286,74.1772993109864,78.4943465884765,81.6031499020888,34.3049293583969,6.97682251248829,68.0498501747732,105.339863750567
"gene15614",0.186671209539655,0,0,0,19.852652099243,30.9235293479043,34.3814177175949,23.846165965166,0,0,0,0
"gene15615",32.6986511234027,0,0,160.231254876056,82.9845637817657,69.6407532857035,85.9989356332067,128.150069736822,0,0,132.13923102465,0
"gene15616",0,0,212.141934901892,0,85.4039884931937,122.787861734995,132.041629857082,155.700677550821,0,0,0,0
"gene15617",148.311223548848,137.59331720217,150.677930334456,117.153737829837,91.3129040422406,127.795227889574,125.084992531203,143.629565329974,81.7853292764498,235.097866217138,95.0851565193293,65.2117783051386
"gene15618",488.469695115801,574.438686428829,556.322236720521,570.011904544419,479.408697823538,474.803489291969,466.348029700856,427.935067868125,895.753863166027,333.373494506124,656.137408556707,917.686809946853
"gene15619",81.2084007802889,70.0737275974955,21.4294868202117,60.7210287208595,55.2986743084802,69.737997746807,62.0014015268314,86.2005354774669,0,0,2.94378205311421,0
"gene15621",34.1866398583474,89.7176615693029,19.5932054854931,81.1939801939476,194.152049976631,250.489117430048,213.486066382028,232.772623417284,32.5518237726273,56.7223547114701,109.635449898458,80.265931653728
"gene15623",0,0,0,0,61.8495684667709,57.2622852496578,70.3437065047538,83.282476557953,0,0,0,0
"gene15624",4.14158414920875,10.9788591896282,55.5676391065879,11.4970306353665,11.7003031372074,13.2962294628174,14.7830221475383,15.4196971183708,0.210737993459583,0,2.47105611267071,17.3934062995047
"gene15625",12.3148769788373,0,0.123984972697281,7.07298161161332,25.7929587594528,30.162097577633,22.6204043263686,34.1683741478093,0.464565431391908,0,0.716758851852294,0
"gene15629",261.293025553132,223.844800758961,308.421736126597,352.201546353779,219.488250427508,197.456156033303,220.770241003083,183.131814290544,0,0,321.378506961165,0
"gene15630",0,0,0,54.1336140623564,0,8.41810089296802,5.38963400623832,6.60240618822029,0,0,85.9810409091087,3.2582851965719
"gene15631",75.755717482235,63.2908376366292,64.4805631656063,76.990360650737,58.859505583147,58.3219920330025,48.6887882860854,43.6684483614469,0,0,71.0850434289729,24.0282807932523
"gene15632",21.3488690654936,3.41033154255623,8.61876120885954,32.4856846142268,25.6140894199282,28.2862692316382,29.3882066010524,36.2926301324051,0,0,0,40.9380584277824
"gene15633",72.6069906678428,17.2589056860164,43.6462693064249,36.6690290534326,53.9297365973002,57.3789250935742,51.644038910565,68.2380960752659,36.4498253714668,144.20630860762,33.3440221499789,24.1401269412426
"gene15634",0,3.87942333104038,12.3667541291279,0,21.6468241918743,8.53887421744705,18.8623662020534,15.4308872038319,0,0,0,38.2932631557523
"gene15636",0,0,0,0,79.4661372222173,81.2023836941689,103.297332037216,123.898482102344,0,0,0,0
"gene15637",23.1378157288339,18.0524802740213,102.172371484782,27.5165143173223,150.123967784751,166.321653044108,183.807358495412,221.116985415778,0,0,0,0
"gene15638",175.711214369372,159.773917007336,146.900728852634,69.4057328307276,111.773122211255,117.715351676531,129.289013992146,107.549633389327,0,0.636266004193886,14.3716718869365,380.24387324556
"gene15639",0,1.2260528756834,146.551373716156,0,23.4883325421334,16.1716148733333,6.51247442420463,12.6889993929859,0,0,0,0
"gene15640",81.3377696016033,0,8.94548008385948,38.2735190183126,31.0995099749112,16.0801969678889,22.228360980623,24.0533197612838,0,0,0,0
"gene15641",171.837954614798,286.400030481549,292.98952299501,207.533738577346,167.789722393049,187.374993521537,167.719438804641,168.872716034579,678.251012162455,178.391273351985,237.719181957028,322.178288140706
"gene15642",50.97294691958,3.03295561407979,38.4260447761049,23.4456242310886,50.058264175704,54.8008613005077,65.552143075988,84.5111930132699,20.1232517640074,114.144473019584,29.2981898782024,121.327257769555
"gene15643",130.620178063247,122.020805598779,11.5641416330624,135.917038918362,267.323952275104,248.806014792676,217.030363749727,225.963142940888,248.918484469744,251.449221120818,338.813975316051,316.587250841826
"gene15645",22.4020627968687,153.49957725591,0,180.345457119014,92.9549508904578,80.3240634734777,103.744064471368,88.4279584904016,65.9173023688396,135.249202269531,78.4923784124996,20.5998553629955
